Id,LotFrontage,LotArea,LotArea - delete,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SalePrice
219,,15660.77362,15660,Corner,1Fam,1.5Fin,7,9,1939,2006,VinylSd,VinylSd,BrkFace,312,Gd,Gd,CBlock,TA,TA,No,BLQ,341,0,457,798,Y,SBrkr,1137,817,0,1954,0,1,1,1,3,1,Gd,8,Typ,2,TA,1939,Unf,2,431,TA,0,119,150,0,0,0,NA,0,5,2008,311500
220,43,3010.200876,3010,Inside,TwnhsE,1Story,7,5,2005,2006,VinylSd,VinylSd,BrkFace,16,Gd,TA,PConc,Gd,TA,Av,GLQ,16,0,1232,1248,Y,SBrkr,1248,0,0,1248,0,0,2,0,2,1,Gd,5,Typ,0,NA,2005,Fin,2,438,TA,108,0,0,0,0,0,NA,0,3,2006,167240
221,73,8990.966493,8990,Inside,1Fam,1Story,7,5,2006,2006,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,0,1498,1498,Y,SBrkr,1498,0,0,1498,0,0,2,0,2,1,Gd,5,Typ,0,NA,2006,RFn,2,675,TA,351,33,0,0,0,0,NA,0,4,2006,204900
222,,8068.991866,8068,Inside,1Fam,2Story,6,5,2002,2002,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,0,1010,1010,Y,SBrkr,1010,1257,0,2267,0,0,2,1,4,1,Gd,8,Typ,1,TA,2002,RFn,2,390,TA,120,46,0,0,0,0,NA,0,12,2009,200000
223,85,11475.04924,11475,Inside,1Fam,2Story,6,6,1975,1975,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,550,0,163,713,Y,SBrkr,811,741,0,1552,1,0,2,1,3,1,TA,6,Typ,1,TA,1975,RFn,2,434,TA,209,208,0,0,0,0,NA,0,2,2006,179900
224,70,10500.22477,10500,FR2,1Fam,1Story,4,6,1971,1971,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,ALQ,524,180,160,864,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,NA,1989,Unf,2,576,TA,216,0,0,0,0,0,NA,0,3,2009,97000
225,103,13472.37934,13472,Inside,1Fam,1Story,10,5,2003,2003,VinylSd,VinylSd,BrkFace,922,Ex,TA,PConc,Ex,TA,Gd,GLQ,56,0,2336,2392,Y,SBrkr,2392,0,0,2392,0,0,2,0,3,1,Ex,8,Typ,1,Ex,2003,Fin,3,968,TA,248,105,0,0,0,0,NA,0,6,2009,386250
226,21,1680.309113,1680,Inside,Twnhs,2Story,5,5,1971,1971,HdBoard,HdBoard,BrkFace,142,TA,TA,CBlock,TA,TA,No,Unf,0,0,630,630,Y,SBrkr,630,672,0,1302,0,0,2,1,3,1,TA,6,Typ,0,NA,1991,Unf,1,280,TA,0,0,0,0,0,0,NA,0,5,2009,112000
227,82,9950.575794,9950,Inside,1Fam,2Story,7,5,1995,1995,VinylSd,VinylSd,BrkFace,290,Gd,TA,PConc,Gd,TA,No,GLQ,565,0,638,1203,Y,SBrkr,1214,1306,0,2520,0,0,2,1,4,1,Gd,9,Typ,1,TA,1995,RFn,3,721,TA,224,114,0,0,0,0,NA,0,6,2007,290000
228,21,1869.073117,1869,Inside,Twnhs,2Story,6,6,1970,1970,HdBoard,HdBoard,BrkFace,127,TA,TA,CBlock,TA,TA,No,Rec,321,0,162,483,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,5,Typ,0,NA,1987,Unf,1,280,TA,0,0,0,0,0,0,NA,0,9,2008,106000
229,70,8521.999426,8521,FR2,1Fam,1Story,5,5,1967,1967,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,ALQ,842,0,70,912,Y,SBrkr,912,0,0,912,0,0,1,0,3,1,TA,5,Typ,1,Fa,1974,Unf,1,336,TA,0,0,0,0,0,0,NA,0,5,2010,125000
230,43,3182.855919,3182,Inside,TwnhsE,1Story,7,5,2005,2006,VinylSd,VinylSd,BrkFace,16,Gd,TA,PConc,Gd,TA,Av,GLQ,16,0,1357,1373,Y,SBrkr,1555,0,0,1555,0,0,2,0,2,1,Gd,7,Typ,1,TA,2005,Fin,2,430,TA,143,20,0,0,0,0,NA,0,5,2009,192500
231,73,8760.671698,8760,Inside,1Fam,1Story,6,6,1959,1959,MetalSd,MetalSd,BrkFace,220,TA,TA,CBlock,TA,TA,No,Unf,0,0,1194,1194,Y,SBrkr,1194,0,0,1194,1,0,1,0,3,1,TA,6,Typ,0,NA,1959,RFn,1,312,TA,0,0,120,0,0,0,NA,0,4,2010,148000
232,174,15138.79684,15138,Inside,1Fam,2Story,8,5,1995,1996,VinylSd,VinylSd,BrkFace,506,Gd,TA,PConc,Gd,TA,No,GLQ,689,0,773,1462,Y,SBrkr,1490,1304,0,2794,1,0,2,1,4,1,Ex,9,Typ,1,TA,1995,Fin,3,810,TA,0,146,202,0,0,0,NA,0,7,2009,403000
233,21,1680.756041,1680,Inside,Twnhs,2Story,6,5,1972,1972,HdBoard,HdBoard,BrkFace,297,TA,TA,CBlock,TA,TA,No,Unf,0,0,483,483,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,5,Typ,1,Po,1972,Unf,1,288,TA,0,0,0,0,0,0,NA,0,6,2006,94500
234,75,10650.98972,10650,Corner,1Fam,1Story,5,6,1976,1976,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,Gd,Av,LwQ,182,712,0,894,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,TA,5,Typ,0,NA,1976,Unf,1,308,TA,365,0,0,0,0,0,NA,0,2,2010,128200
235,,7851.03838,7851,Inside,1Fam,2Story,6,5,2002,2002,VinylSd,VinylSd,NA,NA,Gd,TA,PConc,Gd,TA,No,GLQ,625,0,235,860,Y,SBrkr,860,1100,0,1960,1,0,2,1,4,1,Gd,8,Typ,2,TA,2002,Fin,2,440,TA,288,48,0,0,0,0,NA,0,5,2010,216500
236,21,1680.072468,1680,Inside,TwnhsE,2Story,6,3,1971,1971,HdBoard,HdBoard,BrkFace,604,TA,TA,CBlock,TA,TA,No,ALQ,358,0,125,483,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,5,Typ,0,NA,1971,Unf,1,264,TA,0,0,0,0,0,0,NA,0,8,2008,89500
237,65,8773.197255,8773,FR2,1Fam,1Story,7,5,2004,2004,VinylSd,VinylSd,BrkFace,98,Gd,TA,PConc,Gd,TA,Av,GLQ,24,0,1390,1414,Y,SBrkr,1414,0,0,1414,0,0,2,0,3,1,Gd,6,Typ,0,NA,2004,RFn,2,494,TA,132,105,0,0,0,0,NA,0,5,2010,185500
238,,9453.934864,9453,CulDSac,1Fam,2Story,7,7,1993,2003,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,BLQ,402,0,594,996,Y,SBrkr,1014,730,0,1744,0,0,2,1,3,1,Gd,7,Typ,0,NA,1993,RFn,2,457,TA,370,70,0,238,0,0,NA,0,2,2010,194500
239,93,12030.42443,12030,Inside,1Fam,1Story,8,5,2007,2007,VinylSd,VinylSd,BrkFace,254,Ex,TA,PConc,Ex,TA,No,Unf,0,0,1694,1694,Y,SBrkr,1694,0,0,1694,0,0,2,0,3,1,Gd,7,Typ,0,NA,2007,Fin,3,818,TA,168,228,0,0,0,0,NA,0,12,2007,318000
240,52,8741.62195,8741,Inside,1Fam,1.5Fin,6,4,1945,1950,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,Fa,No,LwQ,94,0,641,735,Y,FuseA,798,689,0,1487,0,0,1,1,3,1,TA,7,Typ,1,Gd,1949,Unf,1,220,TA,0,140,0,0,0,0,NA,0,4,2010,113000
241,75,9000.095982,9000,Inside,1Fam,1Story,8,5,2008,2008,VinylSd,VinylSd,Stone,36,Gd,TA,PConc,Gd,TA,Av,GLQ,1078,0,488,1566,Y,SBrkr,1566,0,0,1566,1,0,2,0,3,1,Gd,7,Typ,0,NA,2008,RFn,2,750,TA,144,168,0,0,0,0,NA,0,4,2010,262500
242,40,3880.797624,3880,Inside,1Fam,1Story,5,9,1945,1997,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,ALQ,329,0,357,686,Y,SBrkr,866,0,0,866,0,0,1,0,2,1,Gd,4,Typ,0,NA,NA,NA,0,0,NA,58,42,0,0,0,0,NA,0,8,2007,110500
243,63,5000.186775,5000,Corner,1Fam,1.5Fin,5,4,1900,1950,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,0,540,540,N,FuseA,889,551,0,1440,0,0,1,0,3,1,TA,6,Typ,0,NA,1940,Unf,1,352,Fa,0,0,77,0,0,0,NA,0,4,2006,79000
244,75,10762.49283,10762,Corner,TwnhsE,2Story,6,6,1980,1980,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,No,Unf,0,0,626,626,Y,SBrkr,626,591,0,1217,0,0,1,1,3,1,TA,6,Typ,1,TA,1980,RFn,1,288,TA,0,28,0,0,0,0,NA,0,4,2009,120000
245,,8880.614749,8880,Inside,1Fam,2Story,7,5,1994,2002,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,695,0,253,948,Y,SBrkr,1222,888,0,2110,1,0,2,1,3,1,Gd,8,Typ,2,Fa,1994,RFn,2,463,TA,0,130,0,0,0,0,NA,0,5,2010,205000
246,80,10400.64597,10400,Inside,1Fam,1Story,7,5,1988,1988,Wd Sdng,Wd Sdng,BrkFace,102,TA,TA,CBlock,Gd,TA,Av,GLQ,929,0,916,1845,Y,SBrkr,1872,0,0,1872,0,1,2,0,3,1,TA,6,Typ,1,TA,1988,Fin,2,604,TA,197,39,0,0,0,0,NA,0,6,2006,241500
247,69,9142.046668,9142,Inside,2fmCon,2Story,6,8,1910,1950,AsbShng,AsbShng,None,0,TA,Fa,Stone,Fa,TA,No,Unf,0,0,1020,1020,N,FuseP,908,1020,0,1928,0,0,2,0,4,2,Fa,9,Typ,0,NA,1910,Unf,1,440,Po,0,60,112,0,0,0,NA,0,4,2006,137000
248,75,11310.46061,11310,Inside,1Fam,1Story,6,5,1954,1954,Wd Sdng,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,0,1367,1367,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,TA,5,Typ,1,TA,1954,Unf,2,451,TA,0,30,0,0,0,0,NA,0,6,2006,140000
249,72,11317.89324,11317,Inside,1Fam,2Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,101,Gd,TA,PConc,Gd,TA,No,Unf,0,0,840,840,Y,SBrkr,840,828,0,1668,0,0,2,1,3,1,Gd,8,Typ,0,NA,2003,RFn,2,500,TA,144,68,0,0,0,0,NA,0,9,2007,180000
250,,159000.9955,159000,CulDSac,1Fam,1.5Fin,6,7,1958,2006,Wd Sdng,HdBoard,BrkCmn,472,Gd,TA,CBlock,Gd,TA,Gd,Rec,697,0,747,1444,Y,SBrkr,1444,700,0,2144,0,1,2,0,4,1,Gd,7,Typ,2,TA,1958,Fin,2,389,TA,0,98,0,0,0,0,Shed,500,6,2007,277000
251,55,5350.73342,5350,Inside,1Fam,1Story,3,2,1940,1966,Wd Sdng,Plywood,None,0,TA,Po,CBlock,TA,TA,No,Unf,0,0,728,728,Y,SBrkr,1306,0,0,1306,0,0,1,0,3,1,Fa,6,Mod,0,NA,NA,NA,0,0,NA,263,0,0,0,0,0,Shed,450,5,2010,76500
252,44,4750.222624,4750,Inside,TwnhsE,1Story,8,5,2006,2007,VinylSd,VinylSd,Stone,481,Gd,TA,PConc,Gd,TA,Gd,GLQ,1573,0,0,1573,Y,SBrkr,1625,0,0,1625,1,1,2,0,2,1,Gd,5,Typ,1,Gd,2006,Fin,2,538,TA,123,0,0,0,153,0,NA,0,12,2007,235000
253,65,8366.95209,8366,Inside,1Fam,2Story,6,5,2004,2004,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,0,798,798,Y,SBrkr,798,842,0,1640,0,0,2,1,3,1,Gd,6,Typ,0,NA,2004,RFn,2,520,TA,138,45,0,0,0,0,NA,0,12,2008,173000
254,85,9350.917113,9350,Inside,1Fam,SLvl,6,7,1964,1991,HdBoard,HdBoard,BrkFace,108,TA,TA,CBlock,Gd,TA,Gd,LwQ,270,580,452,1302,Y,SBrkr,1302,0,0,1302,0,1,2,0,3,1,Gd,7,Min1,0,NA,1964,RFn,1,309,TA,333,0,0,0,0,0,NA,0,10,2007,158000
255,70,8400.320986,8400,Inside,1Fam,1Story,5,6,1957,1957,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Rec,922,0,392,1314,Y,SBrkr,1314,0,0,1314,1,0,1,0,3,1,TA,5,Typ,0,NA,1957,RFn,1,294,TA,250,0,0,0,0,0,NA,0,6,2010,145000
256,66,8738.984973,8738,Inside,1Fam,2Story,7,5,1999,1999,VinylSd,VinylSd,BrkFace,302,Gd,TA,PConc,Gd,TA,No,Unf,0,0,975,975,Y,SBrkr,1005,1286,0,2291,0,0,2,1,4,1,Gd,8,Typ,1,TA,1999,Fin,2,429,TA,192,0,0,0,0,0,NA,0,2,2006,230000
257,64,8791.640795,8791,Inside,1Fam,2Story,6,5,2003,2003,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Rec,503,0,361,864,Y,SBrkr,864,864,0,1728,0,0,2,1,3,1,Gd,7,Typ,0,NA,2003,RFn,2,673,TA,216,56,0,0,0,0,NA,0,5,2008,207500
258,68,8814.945247,8814,Inside,1Fam,1Story,7,5,2006,2006,VinylSd,VinylSd,Stone,180,Gd,TA,PConc,Gd,TA,No,GLQ,1334,0,270,1604,Y,SBrkr,1604,0,0,1604,1,0,2,1,3,1,Gd,8,Typ,1,Gd,2006,RFn,2,660,TA,123,110,0,0,0,0,NA,0,3,2009,220000
259,80,12435.46746,12435,Inside,1Fam,2Story,7,5,2001,2001,VinylSd,VinylSd,BrkFace,172,Gd,TA,PConc,Gd,TA,No,GLQ,361,0,602,963,Y,SBrkr,963,829,0,1792,0,0,2,1,3,1,Gd,7,Typ,1,TA,2001,RFn,2,564,TA,0,96,0,245,0,0,NA,0,5,2008,231500
260,70,12702.37717,12702,Inside,1Fam,1Story,5,5,1956,1956,BrkFace,BrkFace,None,0,TA,TA,PConc,NA,NA,NA,NA,0,0,0,0,Y,FuseA,882,0,0,882,0,0,1,0,2,1,TA,4,Typ,0,NA,1956,Unf,1,308,TA,0,45,0,0,0,0,NA,0,12,2008,97000
261,120,19296.26132,19296,Corner,1Fam,SLvl,6,5,1962,1962,Wd Sdng,Wd Sdng,BrkFace,399,TA,TA,CBlock,TA,TA,Gd,Rec,672,690,0,1362,Y,SBrkr,1382,0,0,1382,1,0,1,0,3,1,TA,6,Typ,1,TA,1991,Unf,2,884,TA,0,0,252,0,0,0,NA,0,5,2009,176000
262,69,9588.691439,9588,Inside,1Fam,2Story,8,5,2007,2007,CemntBd,CmentBd,Stone,270,Gd,TA,PConc,Ex,TA,No,Unf,0,0,1482,1482,Y,SBrkr,1482,1092,0,2574,0,0,2,1,3,1,Ex,10,Typ,1,Gd,2007,Fin,3,868,TA,0,148,0,0,0,0,NA,0,11,2007,276000
263,88,8471.349242,8471,Corner,1Fam,SLvl,6,7,1977,1995,HdBoard,Plywood,BrkFace,46,TA,TA,CBlock,Gd,Gd,Av,ALQ,506,0,0,506,Y,SBrkr,1212,0,0,1212,1,0,1,0,3,1,TA,6,Typ,1,TA,1978,Unf,2,492,TA,292,12,0,0,0,0,NA,0,7,2006,151000
264,50,5500.199533,5500,Corner,1Fam,1.5Fin,5,7,1929,2001,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,LwQ,234,692,0,926,Y,SBrkr,926,0,390,1316,1,0,1,0,3,1,TA,6,Typ,0,NA,1974,Unf,2,484,TA,0,0,0,0,0,0,NA,0,4,2010,130000
265,30,5232.128947,5232,Inside,1Fam,1Story,5,5,1925,2004,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,0,680,680,N,FuseP,764,0,0,764,0,0,1,0,2,1,TA,4,Typ,0,NA,1965,Unf,2,504,TA,0,0,0,0,0,0,NA,0,6,2008,73000
266,78,12090.4182,12090,Inside,1Fam,1Story,6,6,1981,1981,MetalSd,MetalSd,BrkFace,210,TA,Gd,CBlock,Gd,TA,No,GLQ,588,228,606,1422,Y,SBrkr,1422,0,0,1422,0,0,2,0,3,1,Gd,7,Typ,1,TA,1981,Fin,2,576,TA,276,0,0,0,0,0,NA,0,6,2008,175500
267,70,11207.55025,11207,FR2,1Fam,2Story,6,5,1997,1997,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,Av,GLQ,714,0,88,802,Y,SBrkr,802,709,0,1511,1,0,2,1,3,1,TA,8,Typ,1,TA,1997,Fin,2,413,TA,95,75,0,0,0,0,NA,0,6,2006,185000
268,60,8400.2506,8400,Inside,1Fam,2.5Fin,5,8,1939,1997,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,LwQ,378,0,342,720,Y,SBrkr,1052,720,420,2192,0,0,2,1,4,1,Gd,8,Typ,1,Gd,1939,Unf,1,240,TA,262,24,0,0,0,0,NA,0,7,2008,179500
269,71,6900.358996,6900,Inside,1Fam,1Story,5,6,1940,1955,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,403,125,212,740,Y,SBrkr,778,0,0,778,0,0,1,0,2,1,TA,4,Typ,1,Gd,1966,Fin,1,924,Ex,0,25,0,0,0,0,NA,0,2,2008,120500
270,,7917.547476,7917,Corner,1Fam,1Story,6,7,1976,1976,HdBoard,HdBoard,BrkFace,174,TA,Gd,CBlock,TA,Gd,No,BLQ,751,0,392,1143,Y,SBrkr,1113,0,0,1113,1,0,1,1,3,1,TA,6,Typ,1,Fa,1987,RFn,1,504,TA,370,30,0,0,0,0,NA,0,5,2007,148000
271,84,10728.31999,10728,Inside,1Fam,2Story,8,5,2006,2006,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,0,1095,1095,Y,SBrkr,1095,844,0,1939,0,0,2,1,3,1,Gd,8,Typ,1,Gd,2006,RFn,3,1053,TA,192,51,0,0,0,0,NA,0,8,2006,266000
272,73,39104.84184,39104,CulDSac,1Fam,1Story,7,7,1954,2005,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,Gd,LwQ,226,1063,96,1385,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,TA,5,Mod,2,TA,1954,Unf,2,439,TA,81,0,0,0,0,0,NA,0,4,2008,241500
273,92,11764.77412,11764,CulDSac,1Fam,2Story,8,7,1999,2007,VinylSd,VinylSd,BrkFace,348,Gd,TA,PConc,Gd,TA,No,GLQ,524,0,628,1152,Y,SBrkr,1164,1106,0,2270,0,0,2,1,4,1,Gd,9,Typ,1,Gd,1999,Fin,3,671,TA,132,57,0,0,0,0,NA,0,4,2010,290000
274,80,9600.635697,9600,Inside,1Fam,1Story,6,6,1958,1988,Wd Sdng,Wd Sdng,BrkCmn,183,TA,TA,CBlock,TA,TA,No,Rec,620,620,0,1240,Y,SBrkr,1632,0,0,1632,1,0,2,0,3,1,TA,6,Min1,1,Gd,1958,RFn,1,338,TA,289,0,0,0,0,0,NA,0,4,2009,139000
275,76,8314.690209,8314,Corner,1Fam,1Story,5,7,1982,1982,HdBoard,ImStucc,None,0,TA,TA,CBlock,TA,TA,Gd,ALQ,546,0,270,816,Y,SBrkr,816,0,0,816,0,0,1,0,2,1,TA,5,Typ,0,NA,1982,Unf,1,264,TA,168,0,0,0,0,0,NA,0,6,2007,124500
276,55,7264.723623,7264,Inside,1Fam,1.5Fin,7,7,1925,2007,Wd Sdng,Wd Sdng,None,0,Gd,Gd,BrkTil,TA,TA,No,Unf,0,0,952,952,N,SBrkr,952,596,0,1548,0,0,2,1,3,1,Ex,5,Typ,0,NA,1978,Unf,2,672,TA,74,0,0,0,144,0,NA,0,10,2009,205000
277,129,9196.242253,9196,Inside,1Fam,1Story,7,5,2003,2003,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,Unf,0,0,1560,1560,Y,SBrkr,1560,0,0,1560,0,0,2,0,3,1,Gd,7,Typ,0,NA,2003,Fin,2,573,TA,100,150,0,0,0,0,NA,0,4,2010,201000
278,140,19138.95008,19138,Corner,1Fam,1Story,4,5,1951,1951,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,LwQ,120,0,744,864,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,NA,1951,Unf,2,400,TA,0,0,0,0,0,0,NA,0,6,2010,141000
279,107,14450.21676,14450,Inside,1Fam,1Story,9,5,2006,2007,CemntBd,CmentBd,BrkFace,315,Ex,TA,PConc,Ex,TA,Gd,Unf,0,0,2121,2121,Y,SBrkr,2121,0,0,2121,0,0,2,1,3,1,Ex,8,Typ,1,Ex,2007,Fin,3,732,TA,124,98,0,0,142,0,NA,0,5,2007,415298
280,83,10005.88075,10005,Inside,1Fam,2Story,7,5,1977,1977,Plywood,Plywood,BrkFace,299,TA,TA,CBlock,Gd,TA,No,BLQ,392,0,768,1160,Y,SBrkr,1156,866,0,2022,0,0,2,1,4,1,TA,8,Typ,1,TA,1977,Fin,2,505,TA,288,117,0,0,0,0,NA,0,3,2008,192000
281,82,11287.04844,11287,Inside,1Fam,2Story,7,6,1989,1989,Plywood,Plywood,BrkFace,340,Gd,TA,CBlock,Gd,TA,Av,GLQ,421,0,386,807,Y,SBrkr,1175,807,0,1982,0,0,2,1,3,1,Gd,7,Typ,1,TA,1989,Fin,2,575,TA,0,84,0,196,0,0,NA,0,1,2007,228500
282,60,7200.180127,7200,Inside,1Fam,1Story,6,5,2006,2006,VinylSd,VinylSd,Stone,68,Gd,TA,PConc,Gd,TA,No,GLQ,905,0,357,1262,Y,SBrkr,1262,0,0,1262,0,0,2,0,2,1,Gd,5,Typ,0,NA,2006,Fin,2,572,TA,0,120,0,0,0,0,NA,0,5,2006,185000
283,34,5063.346032,5063,Inside,Twnhs,1Story,7,5,2007,2008,VinylSd,VinylSd,Stone,166,Gd,TA,PConc,Gd,TA,No,GLQ,904,0,410,1314,Y,SBrkr,1314,0,0,1314,1,0,2,0,2,1,Gd,6,Typ,1,Gd,2008,RFn,2,626,TA,172,62,0,0,0,0,NA,0,4,2009,207500
284,74,9612.209916,9612,Inside,1Fam,1Story,8,5,2008,2009,VinylSd,VinylSd,Stone,72,Gd,TA,PConc,Gd,TA,No,Unf,0,0,1468,1468,Y,SBrkr,1468,0,0,1468,0,0,2,0,3,1,Gd,6,Typ,1,Gd,2008,Fin,3,898,TA,210,150,0,0,0,0,NA,0,12,2009,244600
285,50,8012.17198,8012,Inside,TwnhsE,1Story,6,5,1992,1992,Plywood,ImStucc,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,430,0,1145,1575,Y,SBrkr,1575,0,0,1575,1,0,2,0,2,1,Gd,5,Typ,0,NA,1992,RFn,2,529,TA,0,0,52,0,0,0,NA,0,7,2007,179200
286,35,4251.297125,4251,Inside,TwnhsE,2Story,7,5,2006,2007,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,0,625,625,Y,SBrkr,625,625,0,1250,0,0,2,1,2,1,Gd,5,Typ,0,NA,2006,RFn,2,528,TA,0,54,0,0,0,0,NA,0,6,2007,164700
287,77,9786.715581,9786,Inside,1Fam,1.5Fin,6,7,1962,1981,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Rec,600,0,312,912,Y,SBrkr,1085,649,0,1734,0,0,1,1,3,1,Gd,7,Typ,1,Gd,1962,RFn,2,440,TA,0,0,0,0,128,0,NA,0,6,2006,159000
288,,8125.488407,8125,Corner,1Fam,1Story,4,4,1971,1971,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,614,0,244,858,Y,SBrkr,858,0,0,858,0,0,1,0,3,1,TA,5,Typ,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,NA,0,6,2006,88000
289,,9819.521463,9819,Inside,1Fam,1Story,5,5,1967,1967,MetalSd,MetalSd,BrkFace,31,TA,Gd,CBlock,TA,TA,No,BLQ,450,0,432,882,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,TA,5,Typ,0,NA,1970,Unf,1,280,TA,0,0,0,0,0,0,NA,0,2,2010,122000
290,60,8730.57275,8730,Inside,1Fam,2Story,6,7,1915,2003,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,0,698,698,Y,FuseA,698,698,0,1396,0,0,1,0,3,1,TA,7,Typ,0,NA,2003,Unf,1,384,TA,0,0,0,0,259,0,NA,0,7,2007,153575
291,120,15611.74863,15611,Inside,1Fam,2Story,8,5,2006,2006,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,Unf,0,0,1079,1079,Y,SBrkr,1079,840,0,1919,0,0,2,1,3,1,Gd,8,Typ,1,Gd,2006,RFn,2,685,Gd,0,51,0,0,0,0,NA,0,7,2006,233230
292,55,5687.037889,5687,Inside,2fmCon,2Story,5,6,1912,2000,VinylSd,VinylSd,None,0,TA,Fa,PConc,TA,Fa,No,Rec,210,0,570,780,N,SBrkr,936,780,0,1716,1,0,2,0,6,1,Fa,9,Typ,0,NA,NA,NA,0,0,NA,0,184,0,0,0,0,NA,0,3,2008,135900
293,60,11409.77318,11409,Inside,1Fam,1.5Fin,5,4,1949,2008,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,LwQ,292,0,476,768,Y,SBrkr,1148,568,0,1716,0,0,1,1,3,1,TA,8,Min2,1,Gd,1949,Unf,1,281,TA,0,0,0,0,160,0,NA,0,1,2009,131000
294,,16659.84664,16659,Corner,1Fam,2Story,7,7,1977,1994,Plywood,Plywood,BrkFace,34,TA,TA,CBlock,TA,TA,No,ALQ,795,0,0,795,Y,SBrkr,1468,795,0,2263,1,0,2,1,3,1,Gd,9,Typ,1,TA,1977,Fin,2,539,TA,0,250,0,0,0,0,NA,0,3,2006,235000
295,80,9600.602714,9600,Inside,1Fam,1Story,6,5,1953,1953,HdBoard,HdBoard,Stone,238,TA,TA,CBlock,TA,TA,No,GLQ,1285,0,131,1416,Y,SBrkr,1644,0,0,1644,1,0,1,0,3,1,TA,7,Typ,2,Gd,1953,Fin,2,418,TA,110,0,0,0,0,0,NA,0,10,2009,167000
296,37,7937.167163,7937,CulDSac,1Fam,SLvl,6,6,1984,1984,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Av,GLQ,819,0,184,1003,Y,SBrkr,1003,0,0,1003,1,0,1,0,3,1,TA,6,Typ,0,NA,1984,Unf,2,588,TA,120,0,0,0,0,0,NA,0,3,2006,142500
